4,184,0,0,0
7,326,137,0,0
14,1,0,0,0
48,0,88,0,0
52,0,0,0,32
53,0,0,4159,0
64,860,201,0,0
75,11,0,0,0
103,0,0,0,34
104,0,0,2379,0
114,159,291,0,0
116,346,0,0,0
120,0,7,0,0
157,0,0,3765,0
158,0,0,0,34
162,50,0,0,0
164,548,193,0,0
194,0,18,0,0
198,0,0,3529,0
205,58,162,0,0
207,110,0,0,0
209,52,147,0,0
212,65,0,0,0
227,13,0,0,0
238,12,0,0,0
249,0,0,0,29
251,0,0,3269,0
256,583,272,0,0
257,147,0,0,0
281,7,0,0,0
282,3,0,0,0
293,0,59,0,0
297,0,6,0,0
301,0,0,4087,0
302,0,0,0,4
305,7,0,0,0
312,663,278,0,0
353,0,0,0,18
355,0,0,4101,0
360,437,0,0,0
361,0,17,0,0
362,18,0,0,0
389,17,0,0,0
402,318,180,0,0
406,0,0,3811,0
407,0,0,0,15
414,20,0,0,0
415,0,19,0,0
420,600,256,0,0
459,0,0,0,15
460,0,0,2908,0
465,276,0,0,0
467,59,0,0,0
468,10,0,0,0
469,0,6,0,0
470,190,0,0,0
471,50,183,0,0
472,0,-2,0,0
473,0,103,0,0
505,183,6,0,0
512,0,0,3331,0
513,0,0,0,24
520,31,0,0,0
521,62,0,0,0
526,0,23,0,0
529,10,0,0,0
554,196,447,0,0
564,0,0,1779,0
565,0,0,139,30
579,707,289,0,0
580,43,0,0,0
618,0,0,0,15
620,0,0,3155,0
628,84,0,0,0
629,0,135,0,0
632,0,12,0,0
633,369,39,0,0
634,0,3,0,0
670,0,0,0,20
671,0,0,4507,0
676,86,0,0,0
679,69,0,0,0
684,5,80,0,0
724,0,0,3764,0
725,0,0,0,29
728,14,0,0,0
730,473,6,0,0
733,26,0,0,0
735,0,13,0,0
736,20,287,0,0
737,0,19,0,0
771,18,0,0,0
777,0,0,0,11
778,0,0,3835,0
783,7,0,0,0
785,37,0,0,0
786,65,0,0,0
787,0,204,0,0
789,0,-4,0,0
790,18,0,0,0
829,0,0,0,38
830,0,0,2936,0
838,13,53,0,0
839,932,399,0,0
842,15,0,0,0
845,41,0,0,0
876,0,6,0,0
880,0,0,3113,0
882,0,0,0,38
886,85,0,0,0
892,0,257,0,0
926,36,0,0,0
929,353,2,0,0
933,0,0,3558,0
934,0,0,0,1
939,147,0,0,0
940,202,0,0,0
942,-7,0,0,0
943,479,190,0,0
944,-5,81,0,0
948,11,0,0,0
985,0,0,3695,0
986,0,0,0,21
991,17,0,0,0
993,312,0,0,0
995,19,0,0,0
1034,271,372,0,0
1037,0,0,0,32
1039,0,0,2994,0
1043,17,0,0,0
1046,570,0,0,0
1048,16,27,0,0
1053,0,32,0,0
1083,4,0,0,0
1087,15,0,0,0
1090,0,0,2515,0
1092,0,0,0,37
1096,65,0,0,0
1098,347,0,0,0
1103,56,103,0,0
1104,307,115,0,0
1105,18,0,0,0
1142,0,0,0,31
1143,0,0,2822,0
1152,196,48,0,0
1155,186,61,0,0
1157,19,19,0,0
1196,0,0,0,18
1197,0,0,4189,0
1203,83,10,0,0
1205,173,0,0,0
1211,85,38,0,0
1232,7,0,0,0
1248,0,0,0,25
1250,0,0,4378,0
1255,9,0,0,0
1256,90,155,0,0
1257,86,0,0,0
1261,538,0,0,0
1302,0,0,3270,0
1303,0,0,0,16
1307,194,240,0,0
1309,49,0,0,0
1310,93,0,0,0
1316,0,9,0,0
1318,18,0,0,0
1354,0,0,0,26
1356,0,0,3033,0
1363,94,0,0,0
1364,0,61,0,0
1365,151,0,0,0
1368,0,146,0,0
1369,240,0,0,0
1400,5,0,0,0
1407,0,0,2763,0
1408,0,0,0,35
1413,83,0,0,0
1421,8,281,0,0
1460,0,0,0,39
1462,0,0,3255,0
1471,949,237,0,0
1478,42,0,0,0
1484,13,0,0,0
1514,0,0,4141,0
1515,0,0,0,21
1521,255,0,0,0
1522,32,0,0,0
1525,0,49,0,0
1566,0,0,2857,0
1567,0,0,0,19
1577,22,0,0,0
1580,18,15,0,0
1610,578,290,0,0
1619,0,0,3728,0
1620,0,0,0,35
1623,17,0,0,0
1625,48,0,0,0
1626,0,171,0,0
1630,71,0,0,0
1634,47,0,0,0
1661,208,0,0,0
1664,12,0,0,0
1665,0,7,0,0
1671,0,0,0,14
1673,0,0,3794,0
